Date,AAPL,AGG,AMZN,BAC,CVX,GOOGL,JNJ,JPM,MSFT,NVDA,SCHG,SMH,SPMO,SPY,UNH,WMT,XOM
2020-12-01,119.24052429199219,100.15269470214844,161.00399780273438,25.126564025878906,69.3875961303711,89.03215026855469,126.52188873291016,104.15921783447266,206.5422821044922,13.347784996032715,15.173398971557617,102.32951354980469,48.96728515625,339.2940673828125,310.9428405761719,47.177215576171875,31.04735565185547
2020-12-02,119.59032440185547,100.04219055175781,160.17649841308594,25.450607299804688,71.30774688720703,90.50051879882812,127.11392974853516,106.15991973876953,205.7398681640625,13.50179672241211,15.149031639099121,102.73902893066406,48.79212951660156,340.0079040527344,316.7481384277344,46.52197265625,32.2086067199707
2020-12-03,119.45429229736328,100.21218872070312,159.3365020751953,25.477041244506836,71.2522201538086,90.34530639648438,127.85187530517578,105.4640121459961,204.66038513183594,13.357709884643555,15.135629653930664,102.70049285888672,48.48040771484375,339.9151916503906,317.768798828125,46.144893646240234,32.42634201049805
2020-12-04,118.78385162353516,99.940185546875,158.12899780273438,25.81192398071289,74.01342010498047,90.44050598144531,128.94161987304688,106.42088317871094,204.77505493164062,13.519495964050293,15.203853607177734,105.6971435546875,48.73656463623047,342.8445739746094,320.0188293457031,46.02436065673828,33.61179733276367
2020-12-07,120.24131774902344,100.09319305419922,157.89999389648438,25.635665893554688,72.01392364501953,90.10676574707031,127.8261489868164,106.02074432373047,204.70814514160156,13.567858695983887,15.27938461303711,106.29936981201172,48.941856384277344,342.1399841308594,318.1620788574219,45.777095794677734,32.9827766418457
2020-12-08,120.85346221923828,100.1017074584961,158.864501953125,25.494665145874023,72.63282012939453,89.82410430908203,130.0399169921875,106.12512969970703,206.35121154785156,13.311843872070312,15.309842109680176,106.43907165527344,49.02284622192383,343.1410827636719,318.1620788574219,46.19126892089844,34.06339645385742
2020-12-09,118.32718658447266,99.95722961425781,155.2100067138672,25.380102157592773,71.7600326538086,88.16432189941406,131.36990356445312,105.29875183105469,202.32949829101562,12.893790245056152,15.004061698913574,103.14372253417969,48.28358459472656,340.06353759765625,315.0066833496094,45.82655334472656,34.51498794555664
2020-12-10,119.74579620361328,100.20372772216797,155.07449340820312,25.653291702270508,74.0689697265625,87.65801239013672,130.6405792236328,104.6202392578125,201.10675048828125,12.93517017364502,15.07225513458252,103.22080993652344,48.38246536254883,339.9523010253906,310.653076171875,45.61251449584961,35.49076461791992
2020-12-11,118.93933868408203,100.314208984375,155.8209991455078,25.17741584777832,73.35487365722656,88.0125732421875,131.24124145507812,104.00261688232422,203.72418212890625,12.976053237915039,15.053954124450684,102.38251495361328,48.24685287475586,339.5536804199219,308.2933654785156,45.600101470947266,35.321414947509766
2020-12-14,118.32718658447266,100.25468444824219,157.84849548339844,24.868974685668945,70.96656799316406,86.89481353759766,127.91197204589844,102.90658569335938,204.62213134765625,13.270709037780762,15.105191230773926,103.42797088623047,48.64049530029297,338.0335388183594,307.4335021972656,45.18132781982422,34.047264099121094
2020-12-15,124.25423431396484,100.314208984375,158.25599670410156,25.23910140991211,70.9110336303711,87.33221435546875,129.1990509033203,104.66374206542969,204.55531311035156,13.322311401367188,15.28452205657959,105.05156707763672,49.03886413574219,342.6034240722656,310.67132568359375,45.15959930419922,34.708526611328125
2020-12-16,124.18623352050781,100.27167510986328,162.04800415039062,25.30960464477539,70.3714828491211,87.13928985595703,128.42674255371094,104.96819305419922,209.4750518798828,13.204649925231934,15.374796867370605,105.00821685791016,49.409915924072266,343.1410827636719,310.36956787109375,45.11308288574219,35.24077224731445
2020-12-17,125.05097961425781,100.2674331665039,161.8040008544922,25.406543731689453,70.14929962158203,86.31212615966797,131.81614685058594,104.09829711914062,209.6087646484375,13.303115844726562,15.501667976379395,104.98411560058594,49.74234390258789,345.0599365234375,312.5006408691406,45.320919036865234,35.06336212158203
2020-12-18,123.06881713867188,100.21635437011719,160.08250427246094,25.265541076660156,69.18128967285156,85.60347747802734,132.57981872558594,103.5851058959961,208.8158721923828,13.234066009521484,15.491910934448242,104.6227798461914,49.70844650268555,343.6820983886719,309.491455078125,45.274391174316406,34.45853805541992
2020-12-21,124.59429931640625,100.21635437011719,160.3090057373047,26.208486557006836,68.30848693847656,86.01705932617188,131.3013153076172,107.47343444824219,212.63702392578125,13.294142723083496,15.494349479675293,104.09496307373047,49.547847747802734,342.4532775878906,307.3878173828125,45.28059005737305,33.829524993896484
2020-12-22,128.1408233642578,100.36101531982422,160.3260040283203,25.74141502380371,66.93580627441406,85.30594635009766,131.0438690185547,105.83808135986328,213.92666625976562,13.240297317504883,15.578524589538574,103.91060638427734,49.72072982788086,341.876220703125,306.4092712402344,44.731536865234375,33.25696563720703
2020-12-23,127.24691009521484,100.29293823242188,159.2635040283203,26.481670379638672,67.9911117553711,85.70316314697266,130.37457275390625,108.79564666748047,211.13723754882812,12.972065925598145,15.487031936645508,103.13439178466797,49.454322814941406,342.1833801269531,308.7689208984375,44.42753219604492,33.68436813354492
2020-12-24,128.228271484375,100.38653564453125,158.63450622558594,26.40235710144043,67.70545196533203,85.99723052978516,130.82936096191406,108.31721496582031,212.78985595703125,12.956607818603516,15.551687240600586,104.2405014038086,49.52611541748047,343.5146179199219,311.6957702636719,44.51438522338867,33.547271728515625
2020-12-28,132.81443786621094,100.40353393554688,164.197998046875,26.55217170715332,67.36427307128906,87.97093200683594,131.4471893310547,109.03053283691406,214.90106201171875,12.863129615783691,15.707837104797363,104.03189086914062,49.95690155029297,346.4656982421875,316.41522216796875,45.047935485839844,33.66018295288086
2020-12-29,131.04603576660156,100.42059326171875,166.10000610351562,26.44641876220703,67.13416290283203,87.16755676269531,132.2623291015625,108.74347686767578,214.1272735595703,12.906253814697266,15.663921356201172,103.76991271972656,49.90683364868164,345.8046875,317.6957092285156,44.76255798339844,33.281158447265625
2020-12-30,129.9286346435547,100.48011016845703,164.29249572753906,26.419979095458984,67.70545196533203,86.10088348388672,133.9012451171875,109.04792022705078,211.76771545410156,13.108176231384277,15.65538215637207,105.68620300292969,49.82748031616211,346.298095703125,315.5372009277344,44.72532653808594,33.547271728515625
2020-12-31,128.9278564453125,100.55667114257812,162.84649658203125,26.71079444885254,67.00720977783203,86.91365814208984,135.04244995117188,110.53541564941406,212.47463989257812,13.017685890197754,15.665140151977539,105.96272277832031,49.98430633544922,348.0576171875,320.7414245605469,44.71601867675781,33.24083709716797
2021-01-04,125.74085998535156,100.42908477783203,159.3314971923828,26.464046478271484,67.21353149414062,85.59902954101562,134.28736877441406,109.49156951904297,207.95611572265625,13.07601547241211,15.45897102355957,106.17617797851562,49.29655838012695,343.3191223144531,319.6621398925781,45.454307556152344,33.466636657714844
2021-01-05,127.29546356201172,100.32697296142578,160.92550659179688,26.66673469543457,69.03054809570312,86.28932189941406,135.8662109375,110.08733367919922,208.15672302246094,13.366435050964355,15.55656909942627,108.03424835205078,49.69239044189453,345.6836853027344,315.36334228515625,45.21235275268555,35.0794792175293
2021-01-06,123.01054382324219,99.8335189819336,156.91900634765625,28.33230972290039,71.2522201538086,85.4378433227539,137.14471435546875,115.25657653808594,202.75936889648438,12.57844352722168,15.378453254699707,107.704345703125,48.9545783996582,347.75030517578125,328.5980224609375,45.494632720947266,35.97461700439453
2021-01-07,127.20803833007812,99.73143005371094,158.10800170898438,28.957996368408203,71.58545684814453,87.9897689819336,137.6080780029297,119.0415267944336,208.52931213378906,13.305858612060547,15.757857322692871,112.1481704711914,49.918174743652344,352.91705322265625,333.8663330078125,45.49152374267578,36.256866455078125
2021-01-08,128.3060302734375,99.61228942871094,159.13499450683594,28.667179107666016,72.2678451538086,89.15464782714844,137.3249053955078,119.17296600341797,209.7998046875,13.238800048828125,15.911568641662598,111.7455062866211,50.381080627441406,354.9278869628906,332.36639404296875,45.48533248901367,36.66007614135742
2021-01-11,125.32305145263672,99.45064544677734,155.7104949951172,29.143056869506836,72.68043518066406,87.09465789794922,136.75,120.9515380859375,207.76507568359375,13.582566261291504,15.676119804382324,113.41920471191406,50.04853820800781,352.5353698730469,329.95166015625,45.69005584716797,37.77294921875
2021-01-12,125.14815521240234,99.53573608398438,156.04150390625,29.662994384765625,74.06102752685547,86.15939331054688,135.68605041503906,122.85272979736328,205.3195037841797,13.446207046508789,15.654160499572754,113.94801330566406,49.787811279296875,352.6097717285156,326.8602600097656,46.211204528808594,38.611629486083984
2021-01-13,127.17889404296875,99.85052490234375,158.29449462890625,29.48674774169922,73.9896240234375,86.64636993408203,135.4800567626953,122.96663665771484,206.66653442382812,13.493072509765625,15.723694801330566,113.33189392089844,50.06460952758789,353.5594482421875,324.72918701171875,45.73970413208008,39.047088623046875
2021-01-14,125.25502014160156,99.65482330322266,156.37350463867188,29.95380973815918,75.76696014404297,85.83656311035156,137.8483428955078,123.68506622314453,203.4949493408203,13.162519454956055,15.540708541870117,116.1505126953125,49.68199920654297,352.3212585449219,320.60418701171875,45.59079360961914,40.57124328613281
2021-01-15,123.53520965576172,99.75692749023438,155.21249389648438,29.090177536010742,73.06922149658203,85.67290496826172,137.54800415039062,121.46843719482422,203.14144897460938,12.822744369506836,15.437015533447266,113.8897933959961,49.51100158691406,349.7518615722656,321.3084716796875,44.86802673339844,38.61968231201172
2021-01-19,124.20564270019531,99.89305877685547,156.03799438476562,28.878684997558594,74.9893798828125,88.49211883544922,139.67604064941406,120.94276428222656,206.76197814941406,12.988021850585938,15.616342544555664,117.79996490478516,50.11750030517578,352.4981384277344,322.12261962890625,44.48027038574219,39.38580322265625
2021-01-20,128.28656005859375,99.901611328125,163.16900634765625,28.499744415283203,75.67967987060547,93.2329330444336,139.3328094482422,119.129150390625,214.30877685546875,13.32754898071289,16.007938385009766,117.30997467041016,51.247379302978516,357.37628173828125,320.8876647949219,45.137901306152344,39.94222640991211
2021-01-21,132.98928833007812,99.75692749023438,165.34950256347656,27.997425079345703,73.00574493408203,93.43525695800781,138.77503967285156,118.13033294677734,214.91062927246094,13.827862739562988,16.120176315307617,119.12437438964844,51.61391830444336,357.7020263671875,324.6925964355469,44.93316650390625,38.79710006713867
2021-01-22,135.126953125,99.75692749023438,164.6114959716797,27.80355453491211,72.78357696533203,93.85231018066406,140.33668518066406,117.21912384033203,215.84677124023438,13.673307418823242,16.131149291992188,116.88304901123047,51.68099594116211,356.4359436035156,317.87860107421875,45.39227294921875,38.24873733520508
2021-01-25,138.86778259277344,100.01219177246094,164.6999969482422,27.45986557006836,72.12500762939453,93.9375991821289,142.42185974121094,115.75597381591797,219.26669311523438,13.614224433898926,16.233631134033203,117.34394073486328,51.99085998535156,357.8417053222656,318.116455078125,45.35194396972656,37.821327209472656
2021-01-26,139.10098266601562,99.97816467285156,166.30650329589844,27.265993118286133,70.90309143066406,94.6155014038086,146.2831268310547,115.28289031982422,221.94151306152344,13.396848678588867,16.203128814697266,115.31608581542969,51.95685577392578,357.2830505371094,313.81768798828125,45.7583122253418,36.9907112121582
2021-01-27,138.0321807861328,99.9866714477539,161.62899780273438,26.28779411315918,69.98268127441406,90.20148468017578,144.05213928222656,112.02360534667969,222.48602294921875,12.880828857421875,15.771273612976074,109.6836929321289,50.426422119140625,348.5509948730469,304.5616149902344,44.61985778808594,36.57137680053711
2021-01-28,133.203125,99.9186019897461,161.88099670410156,26.719608306884766,70.63330078125,91.90043640136719,145.15049743652344,113.99494171142578,228.2464141845703,13.01369571685791,15.894486427307129,111.9783706665039,50.63615036010742,351.548583984375,309.2810974121094,44.591941833496094,37.14393615722656
2021-01-29,128.21853637695312,99.80797576904297,160.30999755859375,26.129167556762695,67.6023178100586,90.61902618408203,139.9763641357422,112.73329162597656,221.58802795410156,12.952619552612305,15.552909851074219,109.93595886230469,50.07405471801758,344.51068115234375,305.1012268066406,43.580665588378906,36.16009521484375
2021-02-01,130.3367462158203,99.90343475341797,167.1439971923828,26.40235710144043,68.5624008178711,93.87760925292969,139.61598205566406,113.56563568115234,228.9342041015625,13.199163436889648,15.949386596679688,114.24393463134766,50.787296295166016,350.2452087402344,305.4853820800781,43.20221710205078,36.22460174560547
2021-02-02,131.16265869140625,99.75000762939453,169.0,27.345298767089844,69.07813262939453,95.16942596435547,138.36314392089844,117.06144714355469,228.80043029785156,13.517999649047852,16.2189884185791,115.80606842041016,51.46466064453125,355.1977844238281,309.802490234375,43.667537689208984,36.79716873168945
2021-02-03,130.1423797607422,99.63072967529297,165.62649536132812,27.829986572265625,70.58572387695312,102.10014343261719,137.7196502685547,118.40194702148438,232.1343994140625,13.491825103759766,16.210447311401367,113.62782287597656,51.155738830566406,355.4771728515625,309.0433654785156,43.80091094970703,38.24066925048828
2021-02-04,133.4945831298828,99.5881118774414,166.5500030517578,28.6407413482666,70.61746215820312,101.83978271484375,138.9981689453125,121.1267318725586,231.1886749267578,13.625195503234863,16.3995361328125,114.94252014160156,51.637542724609375,359.51739501953125,301.2049560546875,44.2134895324707,38.97451400756836
2021-02-05,133.08102416992188,99.46027374267578,167.6074981689453,28.526180267333984,70.82373046875,103.58536529541016,141.1089630126953,120.89018249511719,231.3701629638672,13.552153587341309,16.46785545349121,114.10810089111328,51.64319610595703,360.932373046875,296.8056640625,44.78116989135742,40.28093338012695
2021-02-08,133.2269744873047,99.56257629394531,166.14700317382812,29.16068458557129,72.58521270751953,103.37163543701172,141.51226806640625,122.78266906738281,231.6280975341797,14.397480010986328,16.54227638244629,117.92124938964844,52.02109146118164,363.53900146484375,296.650146484375,44.98899459838867,42.01474380493164
2021-02-09,132.35118103027344,99.60517883300781,165.25,29.03730583190918,72.172607421875,102.91886901855469,142.670654296875,122.2920150756836,232.86996459960938,14.222481727600098,16.536174774169922,117.57195281982422,52.00407409667969,363.2970275878906,301.488525390625,45.23716354370117,41.52266311645508
2021-02-10,131.74789428710938,99.69889831542969,164.32899475097656,29.063743591308594,73.410400390625,103.46882629394531,143.134033203125,122.36209869384766,231.9624481201172,14.722047805786133,16.52031707763672,117.87273406982422,52.042808532714844,363.1387023925781,304.9366149902344,44.709815979003906,41.924530029296875
2021-02-11,131.49488830566406,99.57958221435547,163.10650634765625,28.97562026977539,73.01368713378906,103.58140563964844,142.49046325683594,122.02040100097656,233.55780029296875,15.207159042358398,16.591068267822266,122.23892974853516,52.29694366455078,363.7251892089844,304.6348876953125,44.675697326660156,40.87477111816406
2021-02-12,131.72840881347656,99.34947967529297,163.885498046875,29.407426834106445,73.43419647216797,103.89282989501953,142.93667602539062,123.75516510009766,234.03543090820312,14.918486595153809,16.67524528503418,123.49542236328125,52.617191314697266,365.52191162109375,300.2171630859375,44.81528091430664,41.432456970214844
2021-02-16,129.60702514648438,98.88080596923828,163.44749450683594,30.200559616088867,74.9389419555664,104.6698989868164,141.64100646972656,126.73404693603516,232.80311584472656,15.286429405212402,16.6105899810791,124.25223541259766,52.41880416870117,365.2053527832031,296.9062194824219,45.18443298339844,42.679039001464844
2021-02-17,127.32026672363281,99.0768051147461,165.4320068359375,30.32393455505371,77.1839599609375,105.06265258789062,142.14724731445312,127.12834167480469,233.81800842285156,14.863393783569336,16.547151565551758,121.8459701538086,52.25159454345703,365.28912353515625,298.9549865722656,45.662147521972656,43.34333801269531
2021-02-18,126.22069549560547,99.02568054199219,166.4114990234375,30.13006019592285,76.44367218017578,104.42740631103516,142.21591186523438,127.55760192871094,233.4254150390625,14.786616325378418,16.470293045043945,120.55066680908203,51.96629333496094,363.7345275878906,300.3727111816406,42.702781677246094,42.662635803222656
2021-02-19,126.3763427734375,98.71886444091797,162.4949951171875,30.438505172729492,77.08740997314453,103.58436584472656,139.8476104736328,129.68666076660156,230.72535705566406,14.883837699890137,16.38612174987793,123.15582275390625,51.480716705322266,363.0921630859375,296.8695983886719,42.913734436035156,42.949668884277344
2021-02-22,122.61048126220703,98.41207885742188,159.03700256347656,30.976062774658203,79.17150115966797,101.87102508544922,139.76132202148438,130.90444946289062,224.53997802734375,14.314718246459961,16.006725311279297,118.65379333496094,50.425479888916016,360.2994079589844,299.66845703125,42.71209716796875,44.532501220703125
2021-02-23,122.4742431640625,98.43763732910156,159.72500610351562,31.302125930786133,80.1692886352539,102.16162109375,138.52664184570312,131.9558563232422,223.35269165039062,14.101578712463379,15.961581230163574,117.51373291015625,50.20063781738281,360.7368469238281,301.3786926269531,42.0234489440918,45.14759063720703
2021-02-24,121.97794342041016,98.40355682373047,157.97650146484375,32.06001281738281,83.1304931640625,103.33642578125,140.3829345703125,134.2776336669922,224.57826232910156,14.457557678222656,16.07137680053711,121.29292297363281,50.346107482910156,364.71197509765625,303.84820556640625,41.32237243652344,46.50079345703125
2021-02-25,117.73524475097656,97.500244140625,152.85800170898438,31.663450241088867,82.3580093383789,99.97124481201172,140.52972412109375,132.4552459716797,219.25469970703125,13.269463539123535,15.541927337646484,114.53016662597656,48.90261459350586,355.9239807128906,300.7933654785156,40.931522369384766,45.72987747192383
2021-02-26,117.99798583984375,98.29279327392578,154.64649963378906,30.588308334350586,80.467041015625,100.26679229736328,136.81703186035156,128.9419403076172,222.5005645751953,13.675300598144531,15.616342544555664,116.89276123046875,49.352291107177734,354.0900573730469,303.8573303222656,40.30180740356445,44.58992004394531
2021-03-01,124.3523178100586,98.24153900146484,157.3070068359375,31.54006576538086,82.1166000366211,102.63473510742188,137.5596160888672,131.85946655273438,226.8666534423828,13.802186012268066,16.055517196655273,120.40997314453125,50.664485931396484,362.6732177734375,306.07989501953125,40.7515983581543,46.254764556884766
2021-03-02,121.75414276123047,98.25863647460938,154.72650146484375,31.310941696166992,82.43042755126953,102.37785339355469,137.3005828857422,131.43017578125,223.92721557617188,13.36793041229248,15.832273483276367,116.70842742919922,49.663108825683594,359.84320068359375,306.0707092285156,40.360740661621094,45.98411560058594
2021-03-03,118.77647399902344,97.90013122558594,150.25,32.095252990722656,83.35578155517578,99.74610900878906,134.88304138183594,133.97100830078125,217.88543701171875,12.768149375915527,15.391875267028809,113.0311050415039,48.25076675415039,355.07684326171875,304.4518737792969,39.57902526855469,46.353172302246094
2021-03-04,116.89836883544922,97.61841583251953,148.8784942626953,32.32552719116211,84.08805847167969,100.86286163330078,132.16323852539062,131.91204833984375,217.0907440185547,12.334894180297852,15.138131141662598,107.54425048828125,47.22671127319336,350.68280029296875,305.3116455078125,39.5604133605957,48.14923095703125
2021-03-05,118.15369415283203,97.5501480102539,150.0229949951172,32.706336975097656,87.70905303955078,103.99398803710938,134.77940368652344,132.2187042236328,221.75372314453125,12.42587947845459,15.338201522827148,110.99354553222656,48.05144119262695,357.1341552734375,317.467041015625,40.05363845825195,49.96990966796875
2021-03-08,113.22982788085938,97.16600036621094,147.59750366210938,32.88346862792969,88.31256103515625,99.55219268798828,135.90184020996094,133.97100830078125,217.72268676757812,11.560114860534668,14.981976509094238,104.89543151855469,47.00092697143555,355.3560791015625,320.27496337890625,39.66898727416992,49.92070007324219
2021-03-09,117.83255004882812,97.5330810546875,153.1425018310547,32.16609573364258,88.11139678955078,101.18173217773438,136.16082763671875,133.0247802734375,223.8410186767578,12.488774299621582,15.517531394958496,111.1099853515625,48.495445251464844,360.4298095703125,321.93048095703125,39.982303619384766,49.14978790283203
2021-03-10,116.75242614746094,97.69525909423828,152.8820037841797,33.09602355957031,89.61614227294922,100.97494506835938,137.41281127929688,135.91607666015625,222.53887939453125,12.436903953552246,15.498010635375977,108.85411071777344,48.428375244140625,362.6732177734375,319.753662109375,41.002872467041016,50.65879821777344
2021-03-11,118.67915344238281,97.68672180175781,155.67950439453125,32.980892181396484,89.47127532958984,104.16606140136719,137.40415954589844,135.2063751220703,227.04861450195312,12.960831642150879,15.861552238464355,113.42891693115234,49.395755767822266,366.3504638671875,322.9548034667969,40.98735809326172,50.28154373168945
2021-03-12,117.77417755126953,97.13186645507812,154.47450256347656,33.600830078125,89.7690200805664,101.65978240966797,137.80136108398438,136.80970764160156,225.727294921875,12.823676109313965,15.762735366821289,112.01233673095703,49.12840270996094,366.8437805175781,326.7823486328125,41.60466384887695,50.82283020019531
2021-03-15,120.65454864501953,97.23432159423828,154.08399963378906,33.432559967041016,88.71489715576172,101.87995910644531,138.5093231201172,136.1262969970703,224.82725524902344,13.15808391571045,15.917665481567383,114.42829132080078,49.57240676879883,369.03143310546875,324.8180847167969,41.390625,49.52703857421875
2021-03-16,122.19207000732422,97.20016479492188,154.59300231933594,33.335147857666016,86.61470794677734,103.34039306640625,139.32958984375,134.49667358398438,227.6039276123047,13.257833480834961,15.946946144104004,115.67992401123047,49.886993408203125,368.5660400390625,325.47900390625,41.37821578979492,48.477291107177734
2021-03-17,121.4038314819336,97.1916275024414,156.7864990234375,33.609683990478516,86.92852020263672,103.25757598876953,138.81153869628906,135.88099670410156,226.96243286132812,13.307706832885742,15.981103897094727,116.76663970947266,49.7868537902832,369.82281494140625,323.2577819824219,41.03388595581055,48.69049835205078
2021-03-18,117.2876205444336,96.81604766845703,151.39950561523438,34.486454010009766,83.78227996826172,100.238525390625,138.55250549316406,138.1238555908203,220.91110229492188,12.690513610839844,15.541927337646484,112.08995056152344,48.685333251953125,364.44207763671875,332.31707763671875,40.498104095458984,46.59101104736328
2021-03-19,116.76213836669922,96.89287567138672,153.7480010986328,34.12335205078125,83.18680572509766,100.51721954345703,138.18125915527344,135.9248046875,220.5568389892578,12.813454627990723,15.596822738647461,113.36583709716797,49.10099411010742,363.7676696777344,335.5572509765625,41.03700256347656,46.328575134277344
2021-03-22,120.07069396972656,97.08067321777344,155.5435028076172,33.35285568237305,82.5108871459961,100.70220184326172,138.57843017578125,132.27125549316406,225.9570770263672,13.153099060058594,15.823731422424316,116.06804656982422,49.925045013427734,366.67236328125,336.7321472167969,41.23324203491211,45.85289001464844
2021-03-23,119.24356079101562,97.32817077636719,156.875,32.67977523803711,82.05223083496094,101.2298355102539,138.44888305664062,130.9482879638672,227.4794921875,13.037888526916504,15.756635665893555,113.16209411621094,49.5012092590332,363.7863464355469,338.2374572753906,41.72230529785156,45.287017822265625
2021-03-24,116.85943603515625,97.44771575927734,154.35350036621094,32.67977523803711,84.24897003173828,100.79344940185547,139.7958526611328,131.96461486816406,225.44961547851562,12.611213684082031,15.528761863708496,111.22156524658203,48.66106414794922,361.93707275390625,340.1650085449219,41.46376419067383,46.20555114746094
2021-03-25,117.34600830078125,97.396484375,152.31300354003906,33.35285568237305,84.54670715332031,100.78996276855469,139.84759521484375,133.6555633544922,222.4622344970703,12.503735542297363,15.495790481567383,111.62907409667969,48.6175537109375,363.97314453125,340.61474609375,41.74411392211914,46.0743293762207
2021-03-26,117.9493179321289,97.23432159423828,152.60150146484375,34.25619888305664,86.48597717285156,100.40665435791016,142.40333557128906,135.88099670410156,226.42625427246094,12.806971549987793,15.707053184509277,117.2275161743164,49.36211395263672,369.83856201171875,345.5621337890625,42.09299087524414,47.329124450683594
2021-03-29,118.1244888305664,97.07208251953125,153.7864990234375,33.92851257324219,86.03533935546875,101.45100402832031,143.3617401123047,133.76951599121094,225.2389678955078,12.915696144104004,15.693620681762695,115.35005187988281,49.26372528076172,369.6517639160156,347.93023681640625,42.57270431518555,47.07488250732422
2021-03-30,116.674560546875,97.14893341064453,152.76449584960938,34.53073501586914,85.23870849609375,101.48473358154297,142.472412109375,135.34652709960938,221.99305725097656,12.839386940002441,15.621569633483887,114.85520935058594,49.11708068847656,368.6711120605469,342.8818664550781,42.28300476074219,46.492591857910156
2021-03-31,118.86405944824219,97.16600036621094,154.70399475097656,34.26505661010742,84.32139587402344,102.2806396484375,141.90257263183594,133.37522888183594,225.7464599609375,13.314692497253418,15.848716735839844,118.15412139892578,50.16725158691406,370.16546630859375,341.5143127441406,42.3110466003418,45.78729248046875
2021-04-01,119.69119262695312,97.49258422851562,158.0500030517578,34.97356033325195,85.09386444091797,105.61608123779297,140.5901641845703,134.6719207763672,232.0467071533203,13.77702808380127,16.129592895507812,122.70951080322266,50.82951354980469,374.16290283203125,336.9248962402344,42.24562454223633,47.066673278808594
2021-04-05,122.51315307617188,97.29595184326172,161.3365020751953,35.24810028076172,84.09608459472656,110.03852081298828,141.1082305908203,135.3857879638672,238.48098754882812,13.952333450317383,16.42023277282715,124.75190734863281,51.8162727355957,379.5333251953125,339.7794189453125,43.432430267333984,46.336769104003906
2021-04-06,122.81483459472656,97.63790893554688,161.1909942626953,35.15068817138672,83.34774017333984,109.55751037597656,141.07369995117188,134.43394470214844,237.32247924804688,13.826648712158203,16.437332153320312,123.04425811767578,51.69706726074219,379.3092041015625,334.4466247558594,43.64114761352539,46.20555114746094
